2021-12-20 22:07:47.254 | INFO     | Case.conftest:init:15 - =========================开始执行测试项目=========================
2021-12-20 22:07:52.555 | INFO     | Case.test_invest:test_loan_audit:75 - 响应结果为:{'code': 1001, 'msg': '账号信息错误', 'data': None, 'copyright': 'Copyright 柠檬班 © 2017-2019 湖南省零檬信息技术有限公司 All Rights Reserved'}
2021-12-20 22:07:52.555 | INFO     | Case.test_invest:test_loan_audit:82 - 断言失败
2021-12-20 22:07:57.568 | INFO     | Case.test_invest:test_loan_audit:56 - ***********************开始执行login_01管理员登录成功测试用例***********************
2021-12-20 22:07:57.568 | INFO     | Case.test_invest:step_1:36 - 步骤1 ==>> 管理员审核项目
2021-12-20 22:07:57.568 | INFO     | Common.replace_data:replace_case_by_regular:75 - 正则表达式替换完成之后的请求数据为{'id': 'login_01', 'title': '管理员登录成功', 'url': 'member/login', 'method': 'POST', 'request_data': '{"mobile_phone": "15253084572", "pwd": "12345678"}', 'expect': '{"code": 0, "msg": "OK"}', 'expre_data': '{"admin_member_id": "$..id", "admin_token": "$..token"}'}
2021-12-20 22:07:57.568 | INFO     | Common.replace_data:replace_case_by_regular:76 - 环境变量为:{'__module__': 'Common.replace_data', '__dict__': <attribute '__dict__' of 'EnvData' objects>, '__weakref__': <attribute '__weakref__' of 'EnvData' objects>, '__doc__': None}
2021-12-20 22:07:57.569 | INFO     | Common.handle_request:send_request:32 - 开始发起请求：
2021-12-20 22:07:57.569 | INFO     | Common.handle_request:send_request:33 - 请求头为:{'X-Lemonban-Media-Type': 'lemonban.v2'}
2021-12-20 22:07:57.569 | INFO     | Common.handle_request:send_request:34 - 请求地址为:http://api.lemonban.com/futureloan/member/login
2021-12-20 22:07:57.569 | INFO     | Common.handle_request:send_request:35 - 请求数据为:{'mobile_phone': '15253084572', 'pwd': '12345678'}
2021-12-20 22:09:04.979 | INFO     | Common.handle_request:send_request:78 - 响应数据为200
2021-12-20 22:09:04.979 | INFO     | Case.test_invest:test_loan_audit:72 - 该用例没有expre_data字段
2021-12-20 22:09:04.980 | INFO     | Case.test_invest:test_loan_audit:74 - 期望结果为{'code': 0, 'msg': 'OK'}
2021-12-20 22:09:04.980 | INFO     | Case.test_invest:test_loan_audit:75 - 响应结果为:{'code': 1001, 'msg': '账号信息错误', 'data': None, 'copyright': 'Copyright 柠檬班 © 2017-2019 湖南省零檬信息技术有限公司 All Rights Reserved'}
2021-12-20 22:09:04.980 | INFO     | Case.test_invest:test_loan_audit:82 - 断言失败
2021-12-20 22:09:04.988 | INFO     | Case.test_invest:test_loan_audit:56 - ***********************开始执行loan_add_01管理员加标成功测试用例***********************
2021-12-20 22:09:04.988 | INFO     | Case.test_invest:step_1:36 - 步骤1 ==>> 管理员审核项目
2021-12-20 22:09:04.989 | INFO     | Common.replace_data:replace_case_by_regular:75 - 正则表达式替换完成之后的请求数据为{'id': 'loan_add_01', 'title': '管理员加标成功', 'url': 'loan/add', 'method': 'POST', 'request_data': '{"member_id": "#admin_member_id#", "title": "\\u501f\\u94b1\\u5b9e\\u73b0\\u8d22\\u5bcc\\u81ea\\u7531", "amount": 100, "loan_rate": 12.0, "loan_term": 3, "loan_date_type": 1, "bidding_days": 5}', 'expect': '{"code": 0, "msg": "OK"}', 'expre_data': '{"loan_id": "$..id"}'}
2021-12-20 22:09:04.989 | INFO     | Common.replace_data:replace_case_by_regular:76 - 环境变量为:{'__module__': 'Common.replace_data', '__dict__': <attribute '__dict__' of 'EnvData' objects>, '__weakref__': <attribute '__weakref__' of 'EnvData' objects>, '__doc__': None}
2021-12-20 22:09:04.989 | INFO     | Common.handle_request:send_request:32 - 开始发起请求：
2021-12-20 22:09:04.989 | INFO     | Common.handle_request:send_request:33 - 请求头为:{'X-Lemonban-Media-Type': 'lemonban.v2'}
2021-12-20 22:09:04.989 | INFO     | Common.handle_request:send_request:34 - 请求地址为:http://api.lemonban.com/futureloan/loan/add
2021-12-20 22:09:04.989 | INFO     | Common.handle_request:send_request:35 - 请求数据为:{'member_id': '#admin_member_id#', 'title': '借钱实现财富自由', 'amount': 100, 'loan_rate': 12.0, 'loan_term': 3, 'loan_date_type': 1, 'bidding_days': 5}
2021-12-20 22:09:05.080 | INFO     | Common.handle_request:send_request:78 - 响应数据为200
2021-12-20 22:09:05.080 | INFO     | Case.test_invest:test_loan_audit:72 - 该用例没有expre_data字段
2021-12-20 22:09:05.081 | INFO     | Case.test_invest:test_loan_audit:74 - 期望结果为{'code': 0, 'msg': 'OK'}
2021-12-20 22:09:05.081 | INFO     | Case.test_invest:test_loan_audit:75 - 响应结果为:{'code': 1003, 'copyright': 'Copyright 柠檬班 © 2017-2019 湖南省零檬信息技术有限公司 All Rights Reserved', 'msg': '未授权或token已过期'}
2021-12-20 22:09:05.081 | INFO     | Case.test_invest:test_loan_audit:82 - 断言失败
2021-12-20 22:09:10.094 | INFO     | Case.test_invest:test_loan_audit:56 - ***********************开始执行loan_add_01管理员加标成功测试用例***********************
2021-12-20 22:09:10.096 | INFO     | Case.test_invest:step_1:36 - 步骤1 ==>> 管理员审核项目
2021-12-20 22:09:10.096 | INFO     | Common.replace_data:replace_case_by_regular:75 - 正则表达式替换完成之后的请求数据为{'id': 'loan_add_01', 'title': '管理员加标成功', 'url': 'loan/add', 'method': 'POST', 'request_data': '{"member_id": "#admin_member_id#", "title": "\\u501f\\u94b1\\u5b9e\\u73b0\\u8d22\\u5bcc\\u81ea\\u7531", "amount": 100, "loan_rate": 12.0, "loan_term": 3, "loan_date_type": 1, "bidding_days": 5}', 'expect': '{"code": 0, "msg": "OK"}', 'expre_data': '{"loan_id": "$..id"}'}
2021-12-20 22:09:10.097 | INFO     | Common.replace_data:replace_case_by_regular:76 - 环境变量为:{'__module__': 'Common.replace_data', '__dict__': <attribute '__dict__' of 'EnvData' objects>, '__weakref__': <attribute '__weakref__' of 'EnvData' objects>, '__doc__': None}
2021-12-20 22:09:10.098 | INFO     | Common.handle_request:send_request:32 - 开始发起请求：
2021-12-20 22:09:10.098 | INFO     | Common.handle_request:send_request:33 - 请求头为:{'X-Lemonban-Media-Type': 'lemonban.v2'}
2021-12-20 22:09:10.098 | INFO     | Common.handle_request:send_request:34 - 请求地址为:http://api.lemonban.com/futureloan/loan/add
2021-12-20 22:09:10.098 | INFO     | Common.handle_request:send_request:35 - 请求数据为:{'member_id': '#admin_member_id#', 'title': '借钱实现财富自由', 'amount': 100, 'loan_rate': 12.0, 'loan_term': 3, 'loan_date_type': 1, 'bidding_days': 5}
2021-12-20 22:09:10.198 | INFO     | Common.handle_request:send_request:78 - 响应数据为200
2021-12-20 22:09:10.198 | INFO     | Case.test_invest:test_loan_audit:72 - 该用例没有expre_data字段
2021-12-20 22:09:10.199 | INFO     | Case.test_invest:test_loan_audit:74 - 期望结果为{'code': 0, 'msg': 'OK'}
2021-12-20 22:09:10.199 | INFO     | Case.test_invest:test_loan_audit:75 - 响应结果为:{'code': 1003, 'copyright': 'Copyright 柠檬班 © 2017-2019 湖南省零檬信息技术有限公司 All Rights Reserved', 'msg': '未授权或token已过期'}
2021-12-20 22:09:10.199 | INFO     | Case.test_invest:test_loan_audit:82 - 断言失败
2021-12-20 22:09:15.218 | INFO     | Case.test_invest:test_loan_audit:56 - ***********************开始执行loan_add_01管理员加标成功测试用例***********************
2021-12-20 22:09:15.219 | INFO     | Case.test_invest:step_1:36 - 步骤1 ==>> 管理员审核项目
2021-12-20 22:09:15.220 | INFO     | Common.replace_data:replace_case_by_regular:75 - 正则表达式替换完成之后的请求数据为{'id': 'loan_add_01', 'title': '管理员加标成功', 'url': 'loan/add', 'method': 'POST', 'request_data': '{"member_id": "#admin_member_id#", "title": "\\u501f\\u94b1\\u5b9e\\u73b0\\u8d22\\u5bcc\\u81ea\\u7531", "amount": 100, "loan_rate": 12.0, "loan_term": 3, "loan_date_type": 1, "bidding_days": 5}', 'expect': '{"code": 0, "msg": "OK"}', 'expre_data': '{"loan_id": "$..id"}'}
2021-12-20 22:09:15.220 | INFO     | Common.replace_data:replace_case_by_regular:76 - 环境变量为:{'__module__': 'Common.replace_data', '__dict__': <attribute '__dict__' of 'EnvData' objects>, '__weakref__': <attribute '__weakref__' of 'EnvData' objects>, '__doc__': None}
2021-12-20 22:09:15.221 | INFO     | Common.handle_request:send_request:32 - 开始发起请求：
2021-12-20 22:09:15.221 | INFO     | Common.handle_request:send_request:33 - 请求头为:{'X-Lemonban-Media-Type': 'lemonban.v2'}
2021-12-20 22:09:15.221 | INFO     | Common.handle_request:send_request:34 - 请求地址为:http://api.lemonban.com/futureloan/loan/add
2021-12-20 22:09:15.221 | INFO     | Common.handle_request:send_request:35 - 请求数据为:{'member_id': '#admin_member_id#', 'title': '借钱实现财富自由', 'amount': 100, 'loan_rate': 12.0, 'loan_term': 3, 'loan_date_type': 1, 'bidding_days': 5}
2021-12-20 22:09:15.323 | INFO     | Common.handle_request:send_request:78 - 响应数据为200
2021-12-20 22:09:15.323 | INFO     | Case.test_invest:test_loan_audit:72 - 该用例没有expre_data字段
2021-12-20 22:09:15.324 | INFO     | Case.test_invest:test_loan_audit:74 - 期望结果为{'code': 0, 'msg': 'OK'}
2021-12-20 22:09:15.324 | INFO     | Case.test_invest:test_loan_audit:75 - 响应结果为:{'code': 1003, 'copyright': 'Copyright 柠檬班 © 2017-2019 湖南省零檬信息技术有限公司 All Rights Reserved', 'msg': '未授权或token已过期'}
2021-12-20 22:09:15.324 | INFO     | Case.test_invest:test_loan_audit:82 - 断言失败
2021-12-20 22:09:15.333 | INFO     | Case.test_invest:test_loan_audit:56 - ***********************开始执行loan_audit_01管理员审核通过测试用例***********************
2021-12-20 22:09:15.333 | INFO     | Case.test_invest:step_1:36 - 步骤1 ==>> 管理员审核项目
2021-12-20 22:09:15.334 | INFO     | Common.replace_data:replace_case_by_regular:75 - 正则表达式替换完成之后的请求数据为{'id': 'loan_audit_01', 'title': '管理员审核通过', 'url': 'loan/audit', 'method': 'PATCH', 'request_data': '{"loan_id": "#loan_id#", "approved_or_not": true}', 'expect': '{"code": 0, "msg": "OK"}', 'expre_data': 'null'}
2021-12-20 22:09:15.334 | INFO     | Common.replace_data:replace_case_by_regular:76 - 环境变量为:{'__module__': 'Common.replace_data', '__dict__': <attribute '__dict__' of 'EnvData' objects>, '__weakref__': <attribute '__weakref__' of 'EnvData' objects>, '__doc__': None}
2021-12-20 22:09:15.334 | INFO     | Common.handle_request:send_request:32 - 开始发起请求：
2021-12-20 22:09:15.334 | INFO     | Common.handle_request:send_request:33 - 请求头为:{'X-Lemonban-Media-Type': 'lemonban.v2'}
2021-12-20 22:09:15.335 | INFO     | Common.handle_request:send_request:34 - 请求地址为:http://api.lemonban.com/futureloan/loan/audit
2021-12-20 22:09:15.335 | INFO     | Common.handle_request:send_request:35 - 请求数据为:{'loan_id': '#loan_id#', 'approved_or_not': True}
2021-12-20 22:09:15.427 | INFO     | Common.handle_request:send_request:78 - 响应数据为200
2021-12-20 22:09:15.428 | INFO     | Case.test_invest:test_loan_audit:72 - 该用例没有expre_data字段
2021-12-20 22:09:15.428 | INFO     | Case.test_invest:test_loan_audit:74 - 期望结果为{'code': 0, 'msg': 'OK'}
2021-12-20 22:09:15.428 | INFO     | Case.test_invest:test_loan_audit:75 - 响应结果为:{'code': 1003, 'copyright': 'Copyright 柠檬班 © 2017-2019 湖南省零檬信息技术有限公司 All Rights Reserved', 'msg': '未授权或token已过期'}
2021-12-20 22:09:15.429 | INFO     | Case.test_invest:test_loan_audit:82 - 断言失败
2021-12-20 22:09:20.443 | INFO     | Case.test_invest:test_loan_audit:56 - ***********************开始执行loan_audit_01管理员审核通过测试用例***********************
2021-12-20 22:09:20.444 | INFO     | Case.test_invest:step_1:36 - 步骤1 ==>> 管理员审核项目
2021-12-20 22:09:20.444 | INFO     | Common.replace_data:replace_case_by_regular:75 - 正则表达式替换完成之后的请求数据为{'id': 'loan_audit_01', 'title': '管理员审核通过', 'url': 'loan/audit', 'method': 'PATCH', 'request_data': '{"loan_id": "#loan_id#", "approved_or_not": true}', 'expect': '{"code": 0, "msg": "OK"}', 'expre_data': 'null'}
2021-12-20 22:09:20.444 | INFO     | Common.replace_data:replace_case_by_regular:76 - 环境变量为:{'__module__': 'Common.replace_data', '__dict__': <attribute '__dict__' of 'EnvData' objects>, '__weakref__': <attribute '__weakref__' of 'EnvData' objects>, '__doc__': None}
2021-12-20 22:09:20.444 | INFO     | Common.handle_request:send_request:32 - 开始发起请求：
2021-12-20 22:09:20.445 | INFO     | Common.handle_request:send_request:33 - 请求头为:{'X-Lemonban-Media-Type': 'lemonban.v2'}
2021-12-20 22:09:20.445 | INFO     | Common.handle_request:send_request:34 - 请求地址为:http://api.lemonban.com/futureloan/loan/audit
2021-12-20 22:09:20.445 | INFO     | Common.handle_request:send_request:35 - 请求数据为:{'loan_id': '#loan_id#', 'approved_or_not': True}
2021-12-20 22:09:20.544 | INFO     | Common.handle_request:send_request:78 - 响应数据为200
2021-12-20 22:09:20.544 | INFO     | Case.test_invest:test_loan_audit:72 - 该用例没有expre_data字段
2021-12-20 22:09:20.545 | INFO     | Case.test_invest:test_loan_audit:74 - 期望结果为{'code': 0, 'msg': 'OK'}
2021-12-20 22:09:20.545 | INFO     | Case.test_invest:test_loan_audit:75 - 响应结果为:{'code': 1003, 'copyright': 'Copyright 柠檬班 © 2017-2019 湖南省零檬信息技术有限公司 All Rights Reserved', 'msg': '未授权或token已过期'}
2021-12-20 22:09:20.545 | INFO     | Case.test_invest:test_loan_audit:82 - 断言失败
2021-12-20 22:09:25.561 | INFO     | Case.test_invest:test_loan_audit:56 - ***********************开始执行loan_audit_01管理员审核通过测试用例***********************
2021-12-20 22:09:25.561 | INFO     | Case.test_invest:step_1:36 - 步骤1 ==>> 管理员审核项目
2021-12-20 22:09:25.562 | INFO     | Common.replace_data:replace_case_by_regular:75 - 正则表达式替换完成之后的请求数据为{'id': 'loan_audit_01', 'title': '管理员审核通过', 'url': 'loan/audit', 'method': 'PATCH', 'request_data': '{"loan_id": "#loan_id#", "approved_or_not": true}', 'expect': '{"code": 0, "msg": "OK"}', 'expre_data': 'null'}
2021-12-20 22:09:25.562 | INFO     | Common.replace_data:replace_case_by_regular:76 - 环境变量为:{'__module__': 'Common.replace_data', '__dict__': <attribute '__dict__' of 'EnvData' objects>, '__weakref__': <attribute '__weakref__' of 'EnvData' objects>, '__doc__': None}
2021-12-20 22:09:25.562 | INFO     | Common.handle_request:send_request:32 - 开始发起请求：
2021-12-20 22:09:25.562 | INFO     | Common.handle_request:send_request:33 - 请求头为:{'X-Lemonban-Media-Type': 'lemonban.v2'}
2021-12-20 22:09:25.562 | INFO     | Common.handle_request:send_request:34 - 请求地址为:http://api.lemonban.com/futureloan/loan/audit
2021-12-20 22:09:25.563 | INFO     | Common.handle_request:send_request:35 - 请求数据为:{'loan_id': '#loan_id#', 'approved_or_not': True}
2021-12-20 22:09:25.657 | INFO     | Common.handle_request:send_request:78 - 响应数据为200
2021-12-20 22:09:25.657 | INFO     | Case.test_invest:test_loan_audit:72 - 该用例没有expre_data字段
2021-12-20 22:09:25.658 | INFO     | Case.test_invest:test_loan_audit:74 - 期望结果为{'code': 0, 'msg': 'OK'}
2021-12-20 22:09:25.658 | INFO     | Case.test_invest:test_loan_audit:75 - 响应结果为:{'code': 1003, 'copyright': 'Copyright 柠檬班 © 2017-2019 湖南省零檬信息技术有限公司 All Rights Reserved', 'msg': '未授权或token已过期'}
2021-12-20 22:09:25.658 | INFO     | Case.test_invest:test_loan_audit:82 - 断言失败
2021-12-20 22:09:25.665 | INFO     | Case.test_invest:test_invest:93 - ***********************开始执行login_01普通用户登录成功测试用例***********************
2021-12-20 22:09:25.666 | INFO     | Common.replace_data:replace_case_by_regular:75 - 正则表达式替换完成之后的请求数据为{'id': 'login_01', 'title': '普通用户登录成功', 'url': 'member/login', 'method': 'POST', 'request_data': '{"mobile_phone": "15500000000", "pwd": "12345678"}', 'expect': '{"code": 0, "msg": "OK"}', 'expre_data': '{"member_id": "$..id", "token": "$...token"}'}
2021-12-20 22:09:25.666 | INFO     | Common.replace_data:replace_case_by_regular:76 - 环境变量为:{'__module__': 'Common.replace_data', '__dict__': <attribute '__dict__' of 'EnvData' objects>, '__weakref__': <attribute '__weakref__' of 'EnvData' objects>, '__doc__': None}
2021-12-20 22:09:25.667 | INFO     | Common.handle_request:send_request:32 - 开始发起请求：
2021-12-20 22:09:25.667 | INFO     | Common.handle_request:send_request:33 - 请求头为:{'X-Lemonban-Media-Type': 'lemonban.v2'}
2021-12-20 22:09:25.667 | INFO     | Common.handle_request:send_request:34 - 请求地址为:http://api.lemonban.com/futureloan/member/login
2021-12-20 22:09:25.667 | INFO     | Common.handle_request:send_request:35 - 请求数据为:{'mobile_phone': '15500000000', 'pwd': '12345678'}
2021-12-20 22:09:25.758 | INFO     | Common.handle_request:send_request:78 - 响应数据为200
2021-12-20 22:09:25.759 | INFO     | Common.replace_data:expre_data_response:47 - 设置环境变量：key:member_id,value:55
2021-12-20 22:09:25.759 | INFO     | Common.replace_data:expre_data_response:47 - 设置环境变量：key:token,value:eyJhbGciOiJIUzUxMiJ9.eyJtZW1iZXJfaWQiOjU1LCJleHAiOjE2NDAwMDk2NjV9.7DGYs9HFxSbauQEFqUUJow0ZL6yPG5ZuCThlasQCgjEvOMF-pAdA29tCIGLfRF6BH30MV-17jhqpn0EWs0NVUw
2021-12-20 22:09:25.760 | INFO     | Case.test_invest:test_invest:105 - 环境变量：{'__module__': 'Common.replace_data', '__dict__': <attribute '__dict__' of 'EnvData' objects>, '__weakref__': <attribute '__weakref__' of 'EnvData' objects>, '__doc__': None, 'member_id': '55', 'token': 'eyJhbGciOiJIUzUxMiJ9.eyJtZW1iZXJfaWQiOjU1LCJleHAiOjE2NDAwMDk2NjV9.7DGYs9HFxSbauQEFqUUJow0ZL6yPG5ZuCThlasQCgjEvOMF-pAdA29tCIGLfRF6BH30MV-17jhqpn0EWs0NVUw'}
2021-12-20 22:09:25.760 | INFO     | Case.test_invest:test_invest:111 - 期望结果为{'code': 0, 'msg': 'OK'}
2021-12-20 22:09:25.760 | INFO     | Case.test_invest:test_invest:112 - 响应结果为:{'code': 0, 'msg': 'OK', 'data': {'id': 55, 'leave_amount': 740002.12, 'mobile_phone': '15500000000', 'reg_name': '小柠檬', 'reg_time': '2021-12-18 21:58:05.0', 'type': 1, 'token_info': {'token_type': 'Bearer', 'expires_in': '2021-12-20 22:14:25', 'token': 'eyJhbGciOiJIUzUxMiJ9.eyJtZW1iZXJfaWQiOjU1LCJleHAiOjE2NDAwMDk2NjV9.7DGYs9HFxSbauQEFqUUJow0ZL6yPG5ZuCThlasQCgjEvOMF-pAdA29tCIGLfRF6BH30MV-17jhqpn0EWs0NVUw'}}, 'copyright': 'Copyright 柠檬班 © 2017-2019 湖南省零檬信息技术有限公司 All Rights Reserved'}
2021-12-20 22:09:25.766 | INFO     | Case.test_invest:test_invest:93 - ***********************开始执行recharge_01普通用户充值成功测试用例***********************
2021-12-20 22:09:25.767 | INFO     | Common.replace_data:replace_case_by_regular:75 - 正则表达式替换完成之后的请求数据为{'id': 'recharge_01', 'title': '普通用户充值成功', 'url': 'member/recharge', 'method': 'POST', 'request_data': '{"member_id": "55", "amount": 100}', 'expect': '{"code": 0, "msg": "OK"}', 'expre_data': 'null'}
2021-12-20 22:09:25.768 | INFO     | Common.replace_data:replace_case_by_regular:76 - 环境变量为:{'__module__': 'Common.replace_data', '__dict__': <attribute '__dict__' of 'EnvData' objects>, '__weakref__': <attribute '__weakref__' of 'EnvData' objects>, '__doc__': None, 'member_id': '55', 'token': 'eyJhbGciOiJIUzUxMiJ9.eyJtZW1iZXJfaWQiOjU1LCJleHAiOjE2NDAwMDk2NjV9.7DGYs9HFxSbauQEFqUUJow0ZL6yPG5ZuCThlasQCgjEvOMF-pAdA29tCIGLfRF6BH30MV-17jhqpn0EWs0NVUw'}
2021-12-20 22:09:25.770 | INFO     | Common.handle_request:send_request:32 - 开始发起请求：
2021-12-20 22:09:25.771 | INFO     | Common.handle_request:send_request:33 - 请求头为:{'X-Lemonban-Media-Type': 'lemonban.v2', 'Authorization': 'Bearer eyJhbGciOiJIUzUxMiJ9.eyJtZW1iZXJfaWQiOjU1LCJleHAiOjE2NDAwMDk2NjV9.7DGYs9HFxSbauQEFqUUJow0ZL6yPG5ZuCThlasQCgjEvOMF-pAdA29tCIGLfRF6BH30MV-17jhqpn0EWs0NVUw'}
2021-12-20 22:09:25.771 | INFO     | Common.handle_request:send_request:34 - 请求地址为:http://api.lemonban.com/futureloan/member/recharge
2021-12-20 22:09:25.771 | INFO     | Common.handle_request:send_request:35 - 请求数据为:{'member_id': '55', 'amount': 100}
2021-12-20 22:09:25.871 | INFO     | Common.handle_request:send_request:78 - 响应数据为200
2021-12-20 22:09:25.872 | INFO     | Case.test_invest:test_invest:109 - 该用例没有expre_data字段
2021-12-20 22:09:25.872 | INFO     | Case.test_invest:test_invest:111 - 期望结果为{'code': 0, 'msg': 'OK'}
2021-12-20 22:09:25.873 | INFO     | Case.test_invest:test_invest:112 - 响应结果为:{'code': 0, 'msg': 'OK', 'data': {'id': 55, 'leave_amount': 740102.12, 'mobile_phone': '15500000000', 'reg_name': '小柠檬', 'reg_time': '2021-12-18 21:58:05.0', 'type': 1}, 'copyright': 'Copyright 柠檬班 © 2017-2019 湖南省零檬信息技术有限公司 All Rights Reserved'}
2021-12-20 22:09:25.876 | INFO     | Case.test_invest:test_invest:93 - ***********************开始执行recharge_01投资成功测试用例***********************
2021-12-20 22:09:25.877 | INFO     | Common.replace_data:replace_case_by_regular:75 - 正则表达式替换完成之后的请求数据为{'id': 'recharge_01', 'title': '投资成功', 'url': 'member/invest', 'method': 'POST', 'request_data': '{"member_id": "55", "load_id": "#loan_id#", "amount": 100}', 'expect': '{"code": 0, "msg": "OK"}', 'expre_data': 'null'}
2021-12-20 22:09:25.877 | INFO     | Common.replace_data:replace_case_by_regular:76 - 环境变量为:{'__module__': 'Common.replace_data', '__dict__': <attribute '__dict__' of 'EnvData' objects>, '__weakref__': <attribute '__weakref__' of 'EnvData' objects>, '__doc__': None, 'member_id': '55', 'token': 'eyJhbGciOiJIUzUxMiJ9.eyJtZW1iZXJfaWQiOjU1LCJleHAiOjE2NDAwMDk2NjV9.7DGYs9HFxSbauQEFqUUJow0ZL6yPG5ZuCThlasQCgjEvOMF-pAdA29tCIGLfRF6BH30MV-17jhqpn0EWs0NVUw'}
2021-12-20 22:09:25.878 | INFO     | Common.handle_request:send_request:32 - 开始发起请求：
2021-12-20 22:09:25.878 | INFO     | Common.handle_request:send_request:33 - 请求头为:{'X-Lemonban-Media-Type': 'lemonban.v2', 'Authorization': 'Bearer eyJhbGciOiJIUzUxMiJ9.eyJtZW1iZXJfaWQiOjU1LCJleHAiOjE2NDAwMDk2NjV9.7DGYs9HFxSbauQEFqUUJow0ZL6yPG5ZuCThlasQCgjEvOMF-pAdA29tCIGLfRF6BH30MV-17jhqpn0EWs0NVUw'}
2021-12-20 22:09:25.878 | INFO     | Common.handle_request:send_request:34 - 请求地址为:http://api.lemonban.com/futureloan/member/invest
2021-12-20 22:09:25.878 | INFO     | Common.handle_request:send_request:35 - 请求数据为:{'member_id': '55', 'load_id': '#loan_id#', 'amount': 100}
2021-12-20 22:09:25.970 | INFO     | Common.handle_request:send_request:78 - 响应数据为200
2021-12-20 22:09:25.970 | INFO     | Case.test_invest:test_invest:109 - 该用例没有expre_data字段
2021-12-20 22:09:25.970 | INFO     | Case.test_invest:test_invest:111 - 期望结果为{'code': 0, 'msg': 'OK'}
2021-12-20 22:09:25.971 | INFO     | Case.test_invest:test_invest:112 - 响应结果为:{'code': 1, 'msg': '项目id为空', 'data': None, 'copyright': 'Copyright 柠檬班 © 2017-2019 湖南省零檬信息技术有限公司 All Rights Reserved'}
